measurement_id,energy_difference
0,1503306
1,1477952
2,1481777
3,1555029
4,1424929
5,1531969
6,1432163
7,1442220
8,1539148
9,1445141
10,1489349
11,1430670
12,1475865
13,1503081
14,1501459
15,1591718
16,1271499
17,1507045
18,1511166
19,1474284
20,1701050
21,1189784
22,1534941
23,1506238
24,1418994
25,1476815
26,1499990
27,1535253
28,1456336
29,1500368
30,1506448
31,1525037
32,1476962
33,1500070
34,1487207
35,1489761
36,1536137
37,1480673
38,1433407
39,1447157
40,1553025
41,1506722
42,1338901
43,1467352
44,1487474
45,1513656
46,1496264
47,1467548
48,1484280
49,1500873
50,1478738
51,1572429
52,1302509
53,1489185
54,1500547
55,1503285
56,1426809
57,1510710
58,1521429
59,1408809
60,1469160
61,1459679
62,1515292
63,1461633
64,1521562
65,1531115
66,1465914
67,1445939
68,1510989
69,1497228
70,1449049
71,1502743
72,1496952
73,1496859
74,1486060
75,1483355
76,1560274
77,1451820
78,1504953
79,1424359
80,1430854
81,1540364
82,1463244
83,1443382
84,1450281
85,1520490
86,1453134
87,1521129
88,1459173
89,1439748
90,1557169
91,1426180
92,1505666
93,1397470
94,1489430
95,1518623
96,1425859
97,1513630
98,1491317
99,1488035
100,1540754
101,1471588
102,1436070
103,1486125
104,1492111
105,1523195
106,1448724
107,1486100
108,1516154
109,1441732
110,1546028
111,1407983
112,1543269
113,1487873
114,1427354
115,1423636
116,1525426
117,1444798
118,1564464
119,3111502
120,1361266
121,1479151
122,1584572
123,1403271
124,1369809
125,1457829
126,1519819
127,1465250
128,1492879
129,1522107
130,1537875
131,1450419
132,1574180
133,1394121
134,1474837
135,1530891
136,1497908
137,1524523
138,1441970
139,1478748
140,1497082
141,1484411
142,1504909
143,1464547
144,1495161
145,1490174
146,1465474
147,1477932
148,1466608
149,1420212
150,1469427
151,1502392
152,1439099
153,3183636
154,1501651
155,1400185
156,1508768
157,1510492
158,3044201
159,1453938
160,1442552
161,1495573
162,1496979
163,1450775
164,1529160
165,1448146
166,1517529
167,1459768
168,1504256
169,1391894
170,1496818
171,1484158
172,1452054
173,1401701
174,1521541
175,1435011
176,1467834
177,3084871
178,1444309
179,1517440
180,1530974
181,1554855
182,1278955
183,1485040
184,1494071
185,1508307
186,1547926
187,1337223
188,1434037
189,1539228
190,1473347
191,1449760
192,1502395
193,1433558
194,1519646
195,1507379
196,1509229
197,1437039
198,1455993
199,1521642
200,1462768
201,1522179
202,1453567
203,1451738
204,1471152
205,1499235
206,1395591
207,1516177
208,1431896
209,1573492
210,1426085
211,1473965
212,1506151
213,1458740
214,1497636
215,1458830
216,1550298
217,1488577
218,1516927
219,1447625
220,1416206
221,1455670
222,3136400
223,1517188
224,1440705
225,1515030
226,1495598
227,1419285
228,1549215
229,1482665
230,1495059
231,1477304
232,3138383
233,1425235
234,1524518
235,1404564
236,1509913
237,1442857
238,1502998
239,1536836
240,3031747
241,1527989
242,1459037
243,1488748
244,1495914
245,1505081
246,1447996
247,1512733
248,1488723
249,1466584
250,1566199
251,1473494
252,1408215
253,1546729
254,1400478
255,1512147
256,1430052
257,1479118
258,1547083
259,1396196
260,1646947
261,1271837
262,1458224
263,1508731
264,1489127
265,1598539
266,1349309
267,1500487
268,1484404
269,1446294
270,1491332
271,1526892
272,1389272
273,1469983
274,1502337
275,1455321
276,1536716
277,1514142
278,1475348
279,1446899
280,1549468
281,1440793
282,1422446
283,1532904
284,1458865
285,1513443
286,1466425
287,1461522
288,1490983
289,1531829
290,1364793
291,1444820
292,1488333
293,1522782
294,1484494
295,1475233
296,1465657
297,1568143
298,1459390
299,1514813
300,1452249
301,1505887
302,1456902
303,1531260
304,1492899
305,1434943
306,1447344
307,1466420
308,1530151
309,1467117
310,1472947
311,1519057
312,1486446
313,1481943
314,1524120
315,1406215
316,1467079
317,1555439
