measurement_id,energy_difference
0,290935
1,307401
2,309547
3,340237
4,317476
5,285978
6,322923
7,304276
8,296450
9,276309
10,301641
11,292859
12,302218
13,309609
14,304414
15,310727
16,307689
17,305687
18,341601
19,306208
20,277339
21,307567
22,300268
23,302169
24,320144
25,103196
26,331401
27,316616
28,314577
29,282501
30,305036
31,285180
32,318012
33,300084
34,302900
35,319122
36,289119
37,325962
38,310298
39,309948
40,313928
41,270773
42,298244
43,318683
44,297340
45,299659
46,295880
47,308297
48,306123
49,310929
50,323272
51,300428
52,467621
53,310404
54,297220
55,297443
56,294513
57,322685
58,298198
59,336381
60,308552
61,311288
62,321517
63,308453
64,318700
65,227474
66,340967
67,310898
68,355757
69,315118
70,274231
71,303436
72,433692
73,300733
74,289907
75,304428
76,308875
77,301833
78,310204
79,321274
80,303955
81,314190
82,309392
83,313001
84,306166
85,369256
86,309770
87,304662
88,259847
89,330333
90,327213
91,302859
92,281114
93,313547
94,279511
95,310419
96,331245
97,303954
98,291090
99,340835
100,320390
101,288668
102,335625
103,302003
104,320069
105,304147
106,322073
107,302083
108,323524
109,309212
110,301828
111,331895
112,302787
113,296798
114,308725
115,317841
116,299257
117,286349
118,301921
119,304490
120,292729
121,282704
122,304001
123,311155
124,319675
125,230271
126,286503
127,315459
128,283903
129,295680
130,300206
131,281609
132,265524
133,291173
134,359509
135,306368
136,291303
137,306642
138,270010
139,321757
140,301606
141,360900
142,315429
143,304223
144,332075
145,323292
146,351023
147,296058
148,321587
149,304211
150,222990
151,303852
152,312147
153,325365
154,301187
155,319470
156,316288
157,299753
158,294354
159,307765
160,296046
161,305744
162,304020
163,320004
164,318350
165,292013
166,300912
167,359402
168,502603
169,328631
170,323695
171,283536
172,315633
173,308162
174,310610
175,310623
176,301690
177,301999
178,339689
179,319442
180,306060
181,306671
182,304023
183,311893
184,318022
185,301115
186,316975
187,199446
188,295984
189,317213
190,326702
191,292651
192,317214
193,308805
194,274167
195,294011
196,307027
197,313217
198,297722
199,287668
200,302794
201,325999
202,306378
203,328950
204,324077
205,277639
206,312364
207,287200
208,314749
209,224071
210,306964
211,306187
212,308968
213,312587
214,306729
215,319537
216,320146
217,305637
218,317913
219,305996
220,289300
221,311589
222,304495
223,308310
224,307757
225,283240
226,303097
227,307742
228,257748
229,295689
230,401602
231,314394
232,450176
233,298216
234,294864
235,315685
236,316655
237,307513
238,271570
239,298308
240,302628
241,282097
242,345369
243,307571
244,281733
245,307742
246,271075
247,321264
248,229709
249,296046
250,283435
251,311231
252,313832
253,383856
254,309219
255,287222
256,312849
257,313186
258,302582
259,297605
260,336928
261,289378
262,305762
263,301699
264,324400
265,299931
266,300397
267,290938
268,328147
269,323645
270,298650
271,301648
272,296315
273,307358
274,343229
275,270916
276,137782
277,296105
278,311497
279,298263
280,309588
281,303356
282,328252
283,309276
284,295729
285,293866
286,290364
287,285277
288,321179
289,341438
290,297042
291,553912
292,288247
293,296565
294,298371
295,303277
296,308391
297,292760
298,317297
299,271429
300,300345
301,303111
302,294981
303,316755
304,314675
305,316728
306,301766
307,310619
308,308193
309,390359
310,283860
311,307400
312,300913
313,274046
314,343635
315,306124
316,318054
317,324583
318,296652
319,294809
320,301189
321,314304
322,290693
323,324803
324,283295
325,308571
326,289981
327,300654
328,291857
329,271638
330,295184
331,306686
332,298674
333,313718
334,322416
335,329045
336,306266
337,291358
338,304909
339,302220
340,298499
341,301002
342,332535
343,286762
344,323951
345,275825
346,417170
347,335851
348,307233
349,309242
350,294257
351,308705
352,284823
353,302784
354,288627
355,327011
356,305934
357,328474
358,320025
359,305080
360,277201
361,314319
362,302530
363,315989
364,301945
365,285892
366,307863
367,320569
368,284574
369,308953
370,310209
371,304491
372,341213
373,301138
374,252225
375,394427
376,299140
377,323708
378,319419
379,282615
380,296675
381,319294
382,330298
383,303107
384,282942
385,310190
386,299749
387,302647
388,297998
389,320231
390,296566
391,306173
392,315112
393,281337
394,332994
395,309098
396,319155
397,309924
398,297594
399,311729
400,318120
401,305447
402,311094
403,327951
404,309247
405,314063
406,311830
407,304301
408,315317
409,364896
410,289788
411,341992
412,320722
413,305096
414,308000
415,304122
416,323760
417,294518
418,30996
419,317446
420,302295
421,306001
422,307795
423,325699
424,316889
425,292738
426,328304
427,321477
428,285257
429,305021
430,295601
431,318780
432,297213
433,320552
434,307509
435,325731
436,298765
437,319802
438,286334
439,303893
440,313975
441,283364
442,314874
443,295545
444,283509
445,304337
446,318620
447,313490
448,270598
449,322532
450,235453
451,310473
452,320655
453,310657
454,309696
455,287854
456,316316
457,324696
458,320409
459,280629
460,305721
461,307364
462,341371
463,312214
464,304649
465,302960
466,338664
467,321484
468,319142
469,305572
470,342672
471,296983
472,293919
473,268863
474,312222
475,301474
476,317969
477,297595
478,289042
479,153202
480,249511
481,402073
482,319571
483,305997
484,279700
485,314247
486,343170
487,316960
488,310860
489,308448
490,303871
491,316892
492,336675
493,308927
494,317862
495,285081
496,259193
497,313766
498,307871
499,300559
500,313631
